year,"High humid summer, warm winter","Warm humid summer, mild winter","Hot dry summer, warm winte","hot dry,cool winter",warm temperature,mild temperature,cool temperature
Compact fluorescent lamps (CFLs),3.23,3.43,2.62,3.46,3.24,3.76,3.49
Halogen lights,2.03,2.87,1.63,1.79,4.02,4.11,3.68
Fluorescent tubes,1.63,0.86,1.69,1.19,0.74,0.68,0.68
Light-emitting diode (LED),0.43,0.31,0.00,0.53,0.50,0.42,0.44
Incandescent (GLS),0.83,1.14,1.35,1.71,1.73,1.67,1.80
Other type of lighting,0.11,0.25,0.63,0.17,0.23,0.30,0.31
